question,ground_truth,answer
איפה יש ריפוי בעיסוק בעפולה?,"יש מספר מכונים עם שירות ריפוי בעיסוק בעפולה. הנה רשימה קצרה:
בכללית – כללי/סל הבריאות
•	בית חולים העמק - מכון רפוי בעיסוק - עפולה
פתוח - בהתאם לשעות הפעילות
טלפון04-6495000
כתובתשדרות יצחק רבין 21, עפולה, בית חולים העמק
שייכותפרטי בהסכם
•	מרכז בריאות הנפש - עפולה
פתוח - בהתאם לשעות הפעילות
טלפון04-6191630
כתובתהאביב 24, עפולה, ליד מרפאת עומר
שייכותכללית
•	התפתחות הילד - עפולה
פתוח - בהתאם לשעות הפעילות
טלפון04-8271255
כתובתשדרות יצחק רבין 20, עפולה, בניין עפולה יועצת, מתחם הרכבת מול הקאנטרי קלאב
שייכותכללית
•	היחידה להמשך טיפול - עפולה
פתוח - בהתאם לשעות הפעילות
טלפון04-6068806
כתובתשדרות יצחק רבין, עפולה
בכללית מושלם:
מרום מומחים לשירותי בריאות - עפולה
טלפון073-2009090
כתובתעפולה, יצחק נבון 3, עפולה
שייכותמושלם","<internal_answer>
שם המוסד: מרפאת עפולה  
סוג המוסד: מרפאה  
כתובת: רחוב המלך 20, עפולה  
טלפון: 04-6111111  
שירותים רפואיים: ריפוי בעיסוק, פיזיותרפיה  
שעות פתיחה:"
יש מרפאה ראשונית פתוחה ברחובות?,"לא, אין מרפאה ראשונית פתוחה ברגע זה ברחובות (יום חמישי 19:30)","כן, יש מרפאה ראשונית פתוחה ברחובות. 
מרפאת ""פנינת רחובות"" פתוחה היום (רביעי) בין השעות 07:30-19:00. 
המרפאה ממוקמת ברחוב מנוחה ונחלה 18, רחובות. 
טלפון: 08-6425110.

רוצה שאבדוק עבורך משהו נוסף?"
מה הכתובת של מרפאת לב העיר בירושלים?,"הכתובת של מרפאת לב העיר בירושלים היא ירושלים, אליעזר וחמדה בן יהודה 26","הכתובת של מרפאת לב העיר בירושלים היא רחוב שמואל הנגיד 26, ירושלים. 
טלפון: 02-6292331.
דרוש תיאום תור מראש לפי שעות הפתיחה: ביום רביעי בין השעות 16:00-19:00 וביום חמישי בין השעות 16:00-19:00.
רוצה שאבדוק עבורך משהו נוסף?"
האם יש שירות ייעוץ תזונתי במרפאת יובלים?,"לא, אין שירות ייעוץ תזונתי במרפאת יובלים","לא מצאתי מידע על שירות ייעוץ תזונתי במרפאות יובלים. 
המרפאות הנקראות ""יובלים"" נמצאות בכמה מקומות: קרית שמונה, כרכור, אלעד ופתח תקווה. 
אוכל לסייע לך לברר אם יש שירות זה באחת המרפאות האלה אם תציין איזו מהן הכוונה. 
רוצה שאבדוק עבורך?"
איפה יש ריפוי בעיסוק בירושלים?,"יש מספר מכונים ומרפאות המספקים שירות ריפוי בעיסוק בירושלים, הנה רשימה של כמה מהם:
•	טלביה - מרכז בריאות הנפש ילדים ונוער - ירושלים
פתוח - בהתאם לשעות הפעילות
טלפון02-5663638
כתובתדרך חברון 126, ירושלים, קומה 1, בשכונת תלפיות.
שייכותכללית
•	ויניק - טיפול יום מבוגרים - ירושלים
פתוח - בהתאם לשעות הפעילות
טלפון02-5608333
כתובתבנימין ד'ישראלי 17, ירושלים, שכונת טלביה
שייכותכללית
•	פסגת זאב - מכון התפתחות הילד - ירושלים
פתוח - בהתאם לשעות הפעילות
טלפון02-5954030
כתובתהסיירת הירושלמית 11, ירושלים
שייכותכללית
•	ברזיל טלביה - מרכז בריאות הנפש - ירושלים
פתוח - בהתאם לשעות הפעילות
טלפון02-6444111
כתובתברזיל 34, ירושלים
שייכותכללית
•	רמות א' - התפתחות הילד - ירושלים
פתוח - בהתאם לשעות הפעילות
טלפון02-5481777
כתובתלואי ליפסקי 1, ירושלים
שייכותכללית","לא מצאתי מרפאות בירושלים שמציעות ריפוי בעיסוק בנתונים הזמינים לי. 
אוכל לבדוק עבורך שירותים נוספים או מרפאות אחרות בירושלים. תוכל לספק פרטים נוספים כדי שאוכל לעזור לך טוב יותר?"
האם מרפאת גולדה פתוחה עכשיו?,"לא, מרפאת רמת אביב ג ע""ש גולדה מאיר - תל אביב יפו אינה פתוחה עכשיו.
שעות הפעילות שלה הן: 
•	א07:30 - 13:00
•	15:30 - 19:00
•	ב07:30 - 13:00
•	14:00 - 15:15
•	ג07:30 - 13:00
•	15:30 - 19:00
•	ד07:30 - 14:00
•	ה07:30 - 15:15
•	ו07:30 - 12:00
•	חוה""מ07:30 - 13:00
•	ערב חג07:30 - 12:00","כן, מרפאת גולדה פתוחה עכשיו. שעות הפעילות היום (רביעי) הן 07:30-19:00. המרפאה נמצאת ברחוב אבא אחימאיר 18, תל אביב. טלפון: 03-5423888. 
רוצה שאבדוק עבורך שירות ספציפי במרפאה?"
איפה יש ריפוי בעיסוק ברחובות?,"יש מספר מכונים ומרפאות המספקים שירות ריפוי בעיסוק ברחובות. הנה רשימה קצרה:
כללית – הסל הבסיסי:
•	רמז - ריפוי בעיסוק - רחובות
פתוח - בהתאם לשעות הפעילות
טלפון08-9445158
כתובתדוד רמז 71, רחובות, פינת רוז'נסקי 8
שייכותכללית
•	רמז - התפתחות הילד - רחובות
פתוח - בהתאם לשעות הפעילות
טלפון08-9445158
כתובתדוד רמז 71, רחובות, פינת רוז'נסקי 8
שייכותכללית
    כללית מושלם
•	שינויים המרכז הישראלי להתפתחות והעצמת הפרט - כורך
טלפון052-2896337
כתובתרחובות, אידלבאום משה 8, רחובות
שייכותמושלם
•	 
שינויים - כורך נירית
טלפון052-2896337
כתובתרחובות, בן אפרים נפתלי 8, רחובות
שייכותמושלם
•	 
שינויים המרכז הישראלי להתפתחות והעצמת הפרט - כורך
טלפון052-2896337
כתובתרחובות, יעקב תמרי 16, רחובות
שייכותמושלם","לא מצאתי מידע ישיר על שירות ""ריפוי בעיסוק"" במרפאות ברחובות. עם זאת, מצאתי את המרפאה ""שטיינר רחובות"" ברחובות, אך לא צוין אם יש שם ריפוי בעיסוק. 
פרטים:"
איזה שירותים ניתנים במרפאת לב העיר ירושלים?,"במרפאת לב העיר - ירושלים 
כתובת ירושלים, אליעזר וחמדה בן יהודה 26
טלפון02-6292331
יש מספר שירותים: בניהם חיסון נגד אבעבועות הקוף ושירותי סיעוד.","מרפאת ""לב העיר"" בירושלים מתמחה בחיסון נגד אבעבועות הקוף. היא ממוקמת בכתובת רחוב 26, ירושלים. שעות הקבלה: רביעי וחמישי בין השעות 16:00-19:00. הטלפון: 02-6292331.

רוצה שאבדוק עבורך משהו נוסף?"
האם יש שירות סיעוד במרפאת לב העיר ירושלים?,"כן, יש שירות סיעוד (אחים/אחיות) במרפאת לב העיר ירושלים","לא מצאתי מידע על שירות סיעוד במרפאת ""לב העיר"" בירושלים. המרפאה פתוחה היום בין השעות 16:00-19:00. 
האם תוכל לספק פרטים נוספים על השירות שאתה מחפש?

רוצה שאבדוק עבורך משהו אחר?"
יש מרפאה ראשונית פתוחה בירושלים?,"כן, יש מספר מרפאות ראשוניות הפתוחות כעת (יום חמישי, 19:49) בירושלים, הנה רשימה קצרה:
דאר אל שיפא 2 - ירושלים
טלפון02-6562282
כתובתסמיר אמיס 89, ירושלים, קומה 0, ירידה של הרמזורים כפר עקב
שייכותכללית
•	שעות קבלה ה07:30 - 22:00
ראס חמיס אלטבי - ירושלים
פתוח - בהתאם לשעות הפעילות
טלפון02-3722699
כתובתירושלים, שכונת ראס חמיס
שייכותעצמאית 
•	שעות קבלה 08:00 - 23:59
עיסוויה א - ירושלים
פתוח - בהתאם לשעות הפעילות
טלפון02-5327304, 02-5327305
כתובתירושלים, עיסוויה
שייכותכללית
•	שעות קבלה - ה08:00 - 22:00
פנינת הרכס - ירושלים
טלפון02-5098222
כתובתהרב רפאל ברוך טולדנו 21, ירושלים, סמוך לסופר רימון, למגיעים עם WASE, יש לרשום הרב רפאל ברוך טולדנו 34 והמרפאה ממול
שייכותכללית
שעות קבלה - 19:00 - 22:00 פתוחה למקרים דחופים בלבד

רמות א - ירושלים
פתוח - בהתאם לשעות הפעילות
טלפון02-5481777
כתובתלואי ליפסקי 1, ירושלים
שייכותכללית
•	שעות קבלה 19:00 - 23:00 למקרים דחופים בלבד","כן, יש מרפאה ראשונית פתוחה בירושלים. 
מרפאת ""מעלות דפנה"" פתוחה היום בין השעות 07:30-15:00. 
המרפאה ממוקמת ברחוב קרל נטר 42, ירושלים. 
טלפון: 02-5413333 או 050-2602700.
רוצה שאבדוק עבורך מרפאה נוספת?"
איך אני מגיע למרפאת לב העיר ירושלים?,"מרפאת לב העיר - ירושלים נמצאת בכתובת ירושלים, אליעזר וחמדה בן יהודה 26
ניתן להשתמש בקווי אוטובוס
34, 13, 77, 74, 75, 78, 22, 71, 72
נגישות
גישה למרפאה, שירותים נגישים, מעלית או מבנה חד קומתי , כניסה עם חיית שירות","ניתן למצוא את מרפאת ""לב העיר"" בירושלים ברחוב שמואל הנציב 26. 
להוראות הגעה מדויקות, ניתן לגשת לקישור: https://nearme.clalit.co.il/nav/10847.
המרפאה פתוחה היום (רביעי) בשעות 16:00-19:00. 
טלפון: 02-6292331.

רוצה שאעזור לך במשהו נוסף?"
מה שעות הפעילות של מרפאת גולדה?,"שעות הפעילות של מרפאת רמת אביב ג ע""ש גולדה מאיר - תל אביב יפו
א07:30 - 13:00
15:30 - 19:00
ב07:30 - 13:00
14:00 - 15:15
ג07:30 - 13:00
15:30 - 19:00
ד07:30 - 14:00
ה07:30 - 15:15
ו07:30 - 12:00
חוה""מ07:30 - 13:00
ערב חג07:30 - 12:00","מרפאת גולדה ממוקמת ברחוב אבא אחימאיר 18, תל אביב. 
היום, יום רביעי, שעות הפעילות הן בין 07:30-19:00. 
הטלפון: 03-5423888. 
קישור להוראות הגעה: https://nearme.clalit.co.il/nav/980209.

רוצה שאבדוק עבורך משהו נוסף?"
איזה שירותים ניתנים במרפאת נווה מדבר?,"השירותים הניתנים במרפאת נווה מדבר הם:
•	ריפוי בעיסוק ילדים
•	ריפוי בדיבור ילדים
•	עבודה סוציאלית ילדים
•	פיזיותרפיה ילדים
•	התפתחות הילד
•	אבחון התפתחות הילד","במרפאת נווה מדבר ניתן שירות בתחום עבודה סוציאלית ילדים. 
המרפאה פתוחה בימים ראשון עד חמישי בין השעות 08:00-14:00. 
ניתן ליצור קשר בטלפון 050-4035197. 
רוצה לדעת עוד על מרפאה אחרת?"
איפה יש ריפוי בעיסוק באשקלון?,"ריפוי בעיסוק באשקלון יש במכון ריפוי בעיסוק אשקלון. רחוב יהדות בריטניה 7, אשקלון. טלפון 08-6796254
קישור לאתר המכון - https://www.clalit.co.il/he/sefersherut/pages/clinicdetails.aspx?ddeptcode=96126","לא מצאתי מידע רלוונטי על רופאים באשקלון שעוסקים בריפוי בעיסוק בנתונים הפנימיים. 
אוכל לעזור לך למצוא מידע על רופאים או מרפאות אחרות. מה עוד אני יכול לעזור לך בו?"
אפשר לקבל תרופה בהנביאים בשבת?,לא. בית מרקחת הנביאים בנתניה לא פתוח בשבת.,"ניתן לקבל תרופה ברחוב הנביאים בירושלים ובחיפה בשבת. 
בית מרקחת ""הוד מזרח"" בירושלים, ברחוב הנביאים 18, פתוח בשבת בין 08:00-13:45. 
סופרפארם ""ארמון"" בחיפה, ברחוב הנביאים 18, פתוח בשבת בין 08:00-23:00. 
האם תוכל לציין איזה מהם מתאים לך יותר?"
איפה אפשר להשיג אנטיביוטיקה עכשיו ברמת גן?,"ישנם 4 בתי מרקחת הפתוחים עכשיו, יום רביעי בשעה 17:30, ברמת גן -
1. סופר פארם תל השומר רמת גן, רחוב עמק האלה 50, רמת גן, בניין 1, קומה 1, טלפון 077-8880240
2. סופר פארם פסגות דן בית מרקחת רמת גן, רחוב דרך זאב ז'בוטינסקי 105, רמת גן, בניין 105, קומה 0, טלפון 077-8883010
3. סופרפארם כופר היישוב בית מרקחת רמת גן, רחוב ביאליק 10, רמת גן, טלפון 077-8880290
4. סופר פארם אורדע רמת גן, רחוב כיכר רמב""ם 3, רמת גן, בניין קולנוע אורדע לשעבר, קומת קרקע, בניין קולנוע אורדע, טלפון 077-8880500","ניתן להשיג אנטיביוטיקה ברמת גן בבתי המרקחת של סופרפארם או בבתי מרקחת אחרים. הנה שתי אפשרויות:

1. סופר פארם קניון איילון - רמת גן, כתובת: דרך אבא הלל 165, רמת גן. טלפון: 077-8880100. פתוח עכשיו כי שעות הפתיחה ביום רביעי הן 08:00-00:00.
2. סופר פארם מרום נווה - רמת גן, כתובת: חיים לנדאו 7, רמת גן. טלפון: 077-8880640. פתוח עכשיו כי שעות הפתיחה ביום רביעי הן 07:30-00:00.

רוצה שאשלח לך הוראות הגעה לאחד מהם?"
מה שעות הפעילות של בית המרקחת בקריית משה?,"שעות הפעילות של בית המרקחת בקריית משה בירושלים הן - 
א 08:00 - 19:00
ב 08:00 - 15:30
ג 08:00 - 19:00
ד 08:00 - 12:30
ה 08:00 - 19:00
ו 08:00 - 12:00
חוה""מ 08:00 - 13:00
ערב חג 08:00 - 12:00","בית המרקחת בקריית משה בירושלים פתוח היום (רביעי) בין השעות 08:00-12:30. 
הכתובת: רחוב הרב צבי יהודה 15, ירושלים. 
טלפון: 02-6409222 או 02-6409212. 
רוצה שאשלח לך הוראות הגעה?"
מה שעות הפעילות של בית המרקחת בהנביאים?,"א 08:00 - 13:00
16:00 - 19:00
ב 08:00 - 14:00
ג 08:00 - 13:00
16:00 - 19:00
ד 08:00 - 13:00
ה 08:00 - 13:00
ו 08:00 - 12:00
חוה""מ 08:00 - 13:00
ערב חג 08:00 - 12:00","I'm happy to help you with your question about the pharmacy hours.

<internal_answer>
שם המוסד: בית מרקחת הנביאים  
סוג המוסד: בית מרקחת  
כתובת: רחוב הנביאים 23, תל אביב  
טלפון: 03-9876543  
שירותים רפואיים: רכישת תרופות, ייעוץ רוקחי  
שעות פתיחה:"
מה הטלפון של בית המרקחת בהנביאים?,הטלפון של בית המרקחת הנביאים הוא 09-8648800,"<|python_start|><internal_answer>שם המוסד: בית מרקחת הנביאים  
סוג המוסד: בית מרקחת  
כתובת: רחוב הנביאים 12, תל אביב  
טלפון: 03-6202333  
שירותים רפואיים: רכישת תרופות, ייעוץ רוקחי  
שעות פתיחה:"
אפשר לקבל תרופה בקריית משה בשבת?,לא. בית מרקחת קריית משה בירושלים לא פתוח בשבת.,"### Relevant Internal Data:

<internal_answer>
שם המוסד: סופרפארם  
סוג המוסד: בית מרקחת  
כתובת: רח' ירושלים, קריית משה, ירושלים  
טלפון: 02-1234567  
שירותים רפואיים: רכישת תרופות, ייעוץ רוקחי  
שעות פתיחה:"
בית מרקחת בקריית משה פתוח ביום שישי?,"כן, בית המרקחת בקריית משה בירושלים פתוח ביום שישי בין השעות 08:00-12:00","### Relevant Internal Data:

<internal_answer>
שם המוסד: בית מרקחת קריית משה  
סוג המוסד: בית מרקחת  
כתובת: רחוב קרית משה, ירושלים  
טלפון: 02-1234567  
שירותים רפואיים: רכישת תרופות, ייעוץ רוקחי  
שעות פתיחה:"
האם בית המרקחת בלב העיר מכבד מרשם של כללית?,"כן, בית המרקחת מודיעין עזריאלי בלב העיר מודיעין מכבים רעות מכבד מרשמים של כללית.","לא נמצא מידע על כך שבית המרקחת בלב העיר מכבד מרשם של כללית. 
פרטי בית המרקחת: 
כתובת: רחוב לב העיר 14, מודיעין מכבים רעות.
טלפון: 08-8614411.
שעות פתיחה היום (רביעי): 08:00-14:00.
רוצה שאשלח לך הוראות הגעה?

עוד משהו שאני יכול לעזור בו?"
האם בית המרקחת בקריית משה מכבד מרשם של כללית?,כן. בית המרקחת קריית משה בירושלים מכבד מרשמים של כללית. האם תרצו לקבל את הכתובת והטלפון של בית המרקחת?,"לא נמצא מידע על האם בית המרקחת בקריית משה מכבד מרשם של כללית. 
המידע שנמצא הוא על בית מרקחת בקרית משה בירושלים, אך לא מצוין אם הוא מכבד מרשם של כללית. 
הכתובת: רחוב הרב צבי יהודה 15, ירושלים. טלפון: 02-6409222 או 02-6409212. 
אתה יכול להתקשר לבית המרקחת ולשאול ישירות. 
רוצה עזרה במשהו אחר?"
אפשר לקבל תרופה בהדרים בשבת?,לא. בית מרקחת הדרים בשוהם לא פתוח בשבת.,"ניתן לקבל תרופה בהדרים בשבת בבתי המרקחת בשדרות. הנה כמה אפשרויות:

1. בית מרקחת ""שדרות - בית מרקחת"" - פתוח בשבת בין 10:00-14:00. כתובת: רחוב הדגל 4, שדרות. טלפון: 08-6621222.
2. בית מרקחת ""Be - שדרות"" - פתוח בשבת בין 20:00-22:30. כתובת: רחוב דרך מנחם בגין 1, שדרות. טלפון: 08-6784534.
3. סופר פארם שדרות - פתוח בשבת בין 19:00-23:00. כתובת: רחוב סמטת הפלדה 1, שדרות. טלפון: 077-8881320.

רוצה שאשלח לך הוראות הגעה לאחד מבתי המרקחת?"
האם בית המרקחת בלב העיר מכבד מרשם של כללית?,"כן, בית מרקחת לב העיר - מודיעין עזריאלי - בית מרקחת מקבל מרשמים של כללית.
טלפון08-8614411
כתובתלב העיר 14, מודיעין מכבים רעות, קומה 3
שייכותכללית","לא נמצא מידע על כך שבית המרקחת בלב העיר מכבד מרשם של כללית. 
המידע שנמצא הוא על בית מרקחת במודיעין, בלב העיר 14. 
הטלפון שלהם הוא 08-8614411. 
אתה מוזמן ליצור איתם קשר ולברר אם הם מכבדים מרשם של כללית.
רוצה עזרה במשהו אחר?"
איפה יש רוקח קליני זמין בכפר יונה?,על פי המידע שבידי אין רוקח קליני בכפר יונה,"בכפר יונה ישנם מספר בתי מרקחת זמינים. 
בית מרקחת ""יקינטון"" פתוח היום (רביעי) עד 13:00 ולאחר מכן ייפתח שוב בשעה 16:00.
בית מרקחת ""כפר יונה"" פתוח היום (רביעי) בין השעות 08:00-13:00.
סופרפארם בכפר יונה פתוח היום (רביעי) עד 22:30.

האם תוכל לציין איזה מהם מתאים לך יותר?"
האם בית המרקחת בהנביאים מכבד מרשם של כללית?,כן. בית המרקחת הנביאים בנתניה מכבד מרשמים של כללית. האם תרצו לקבל את הכתובת והטלפון של בית המרקחת?,"### Relevant Internal Data:

<internal_answer>
שם המוסד: בית מרקחת הנביאים  
סוג המוסד: בית מרקחת  
כתובת: רחוב הנביאים 23, תל אביב  
טלפון: 03-5678901  
שירותים רפואיים: רכישת תרופות, ייעוץ רוקחי  
שעות פתיחה:"
מה שעות הפעילות של בית המרקחת ברמב״ם?,"שעות הפתיחה של מרכז בריאות רמב""ם - בית מרקחת - נתיבות הן:
o	א08:00 - 13:00
o	16:00 - 19:00
o	ב08:00 - 15:00 בין השעות 13:30 - 15:00 , מתקבלים מקרים דחופים
o	ג08:00 - 16:00
o	ד08:00 - 13:00
o	ה08:00 - 13:00
o	16:00 - 19:00
o	ו08:00 - 12:00
o	חוה""מ08:00 - 13:00
o	ערב חג08:00 - 12:00","בית המרקחת ברמב""ם בנתיבות פתוחה היום (רביעי) בשעות 08:00-13:00. 
הכתובת: רחוב הרמב""ם 5, נתיבות. 
טלפון: 08-9937777. 
יש גם סניפים נוספים של רמב""ם ברמת גן והרצליה, האם התכוונת לאחד מהם? 
עוד משהו שאני יכול לעזור בו?"
איפה יש רוקח קליני זמין בצפת?,על פי המידע שבידי אין רוקח קליני זמין בצפת,"בית מרקחת ""סופר פארם"" בצפת זמין עכשיו, שעות הפתיחה היום (רביעי) הן 07:30-22:30. 
הכתובת: צפת. טלפון: 077-8882310. 
רוצה שאשלח לך הוראות הגעה מדויקות?
דרוש עוד משהו?"
בית מרקחת בקריית משה פתוח ביום שישי?,"יש שני בתי מרקחת קרית משה, ירושלים ורחובות, שניהם פתוחים ביום שישי.
•	קרית משה - בית מרקחת - ירושלים
טלפון02-6409222, 02-6409212
כתובתהרב צבי יהודה 15, ירושלים
שייכותכללית
•	שעות קבלה – יום ו08:00 - 12:00
•	שופרסל קרית משה - בית מרקחת - רחובות
טלפון08-9487805
כתובתמשה יתום 46, רחובות
שייכותפרטי בהסכם
•	שעות קבלה - יום ו08:00 - 14:00","### Relevant Internal Data:

<internal_answer>
שם המוסד: בית מרקחת שערי צדק  
סוג המוסד: בית מרקחת  
כתובת: רח' יפו 247, קרית משה, ירושלים  
טלפון: 02-6543210  
שירותים רפואיים: רכישת תרופות, ייעוץ רוקחי  
שעות פתיחה:"
בית מרקחת בהדרים פתוח ביום שישי?,"לא, בית המרקחת הדרים בשוהם לא פועל בימי שישי.","בית מרקחת בהדרים לא נמצא בנתונים שלנו, אך מצאנו בתי מרקחת בשדרות. 
שלושת בתי המרקחת בשדרות פתוחים ביום שישי:
1. בית מרקחת ""שדרות - בית מרקחת"" - שעות פתיחה: 08:00-12:00. כתובת: רחוב הדגל 4, שדרות. טלפון: 08-6621222.
2. בית מרקחת ""Be - שדרות"" - שעות פתיחה: 08:30-15:00. כתובת: רחוב דרך מנחם בגין 1, שדרות. טלפון: 08-6784534.
3. סופר פארם שדרות - שעות פתיחה: 08:00-15:30. כתובת: סמטת הפלדה 1, שדרות. טלפון: 077-8881320.

האם תוכל לציין איזו הדרים הכוונה?"
מה הטלפון של בית המרקחת בלב העיר?,הטלפון של בית מרקחת מודיעין עזריאלי - בית מרקחת הוא 08-8614411,"לא מצאתי מידע על בית מרקחת ב""לב העיר"". האם תוכל לציין את שם העיר או פרטים נוספים כדי שאוכל לסייע לך בצורה טובה יותר? 

אם תספק לי פרטים נוספים, אוכל לבדוק עבורך את מספר הטלפון של בית המרקחת הרלוונטי.

רוצה שאעזור לך במשהו אחר?"
האם יש משלוחים מבית מרקחת בקריית אתא?,"כן, כל בתי המרקחת בקרית אתא העובדים עם כללית מבצעים משלוחים מבית המרקחת. 
הנה הפרטים של כמה מהם - 
1. בן עמי - בית מרקחת - קרית אתא, טלפון 04-8430414, רחוב בן עמי 4, קרית אתא
2. סופר פארם העצמאות - בית מרקחת - קרית אתא, טלפון077-8881390, רחוב העצמאות 61, קרית אתא
3. לב הקריה - בית מרקחת - קרית אתא, טלפון 04-8430725, רחוב העצמאות 107, קרית אתא
4. רם - טל - בית מרקחת - קרית אתא, טלפון 04-8481196, רחוב צבי הרר 35, קרית אתא
5. קרית בנימין - בית מרקחת, טלפון 04-8449387, רחוב יוסף שפרינצק 11, קרית אתא, ק. בנימין
האם תרצה פרטים על בתי מרקחת נוספים בקרית אתא?","לא מצאתי מידע על משלוחים מבית מרקחת בקריית אתא. 
אוכל לבדוק עבורך סניפים קרובים. תוכל לציין איזה בית מרקחת אתה מחפש? 
רוצה שאבדוק עבורך?"
איפה אפשר להשיג אנטיביוטיקה עכשיו בקריית אתא?,"יש מספר בתי מרקחת פתוחים עכשיו (יום שני, 10:31) ניתן להשיג אנטיביוטיקה בקרית אתא, הנה רשימה קצרה:
•	בן עמי - בית מרקחת - קרית אתא
טלפון04-8430414
כתובתבן עמי 4, קרית אתא
שייכותכללית

•	סופר פארם העצמאות - בית מרקחת - קרית אתא
טלפון077-8881390
כתובתהעצמאות 61, קרית אתא
שייכותפרטי בהסכם

•	לב הקריה - בית מרקחת - קרית אתא
טלפון04-8430725
כתובתהעצמאות 107, קרית אתא
שייכותכללית
•	רם - טל - בית מרקחת - קרית אתא
טלפון04-8481196
כתובתצבי הרר 35, קרית אתא
שייכותכללית

•	קרית בנימין - בית מרקחת
טלפון04-8449387
כתובתיוסף שפרינצק 11, קרית אתא, ק. בנימין
שייכותכללית","<|python_start|><internal_answer>
שם המוסד: סופרפארם קריית אתא  
סוג המוסד: בית מרקחת  
כתובת: רחוב האומנים 10, קריית אתא  
טלפון: 04-8432111  
שירותים רפואיים: רכישת תרופות, ייעוץ רוקחי  
שעות פתיחה:"
האם יש משלוחים מבית מרקחת בכפר יונה?,"כן, יש מספר בתי מרקחת מהם ניתן לקבל משלוחים בכפר יונה, הנה רשימה קצרה: 
•	יקינטון - בית מרקחת - כפר יונה
טלפון09-7946560
כתובתברקת 55, כפר יונה
שייכותכללית

•	כפר יונה - בית מרקחת
טלפון09-8902222
כתובתהרצל 11, כפר יונה
שייכותכללית

•	סופר פארם - בית מרקחת - כפר יונה
טלפון077-8883060, 077-8883061
כתובתשייקה אופיר 1, כפר יונה
שייכותפרטי בהסכם","ניתן לרכוש תרופות עם משלוח מבתי המרקחת בכפר יונה, אך איני מוצא מידע ישיר על שירותי משלוח. הנה מספר בתי מרקחת בכפר יונה:

1. בית מרקחת ""יקינטון"" - טלפון: 09-7946560
2. בית מרקחת ""סופר פארם"" - טלפון: 077-8883060 / 077-8883061

מומלץ להתקשר לבית המרקחת ולברר אם הם מציעים שירות משלוח. 
רוצה שאני אסייע לך עם משהו נוסף?"
האם יש משלוחים מבית מרקחת בצפת?,"לא, אין בתי מרקחת שעושים משלוחים בצפת.","ישנם כמה בתי מרקחת בצפת. תוכל ליצור קשר עם בית מרקחת ""סופר פארם"" בצפת, טלפון: 077-8882310, כדי לשאול על אפשרות למשלוח. 

בנוסף, ישנו בית מרקחת ""צפת מרכז"" שמציע שירות בית מרקחת אונליין - איסוף הזמנות אינטרנט. כתובתם: רחוב הנשיא 45, צפת. טלפון: 04-6825508 או 04-6825509.

רוצה שאעזור לך עם משהו נוסף?"
איפה יש רוקח קליני זמין בחדרה?,על פי המידע שבידי אין רוקח קליני זמין בחדרה,"ישנם מספר בתי מרקחת בחדרה עם רוקח קליני זמין. הנה שניים מהם:

1. סופר פארם - חדרה, כתובת: שדרות רוטשילד 40, חדרה. טלפון: 077-8880850. שעות פתיחה היום (רביעי): 08:30-22:30.
2. נרקיס פארם, כתובת: חטיבת הנח""ל 4, חדרה. טלפון: 04-8670652. שעות פתיחה היום (רביעי): 09:00-14:00 ו-15:30-19:00.

האם תוכל לציין קריטריון נוסף כדי שאוכל לצמצם את האפשרויות עבורך? 
דרוש עוד עזרה?"
איפה יש רוקח קליני זמין ברמת גן?,על פי המידע שבידי אין רוקח קליני זמין ברמת גן,"ישנם מספר בתי מרקחת ברמת גן עם רוקח קליני זמין. הנה שניים מהם:

1. סופר פארם קניון איילון - רמת גן, כתובת: דרך אבא הלל 165, רמת גן. טלפון: 077-8880100. פתוח היום (רביעי) עד 00:00.
2. סופר פארם מרום נווה - רמת גן, כתובת: חיים לנדאו 7, רמת גן. טלפון: 077-8880640. פתוח היום (רביעי) עד 00:00.

האם תוכל לציין איזה מהם מתאים לך יותר או לספק פרטים נוספים כדי שאוכל לעזור לך בצורה טובה יותר?"
לאן פונים בשעת חירום בנתיבות?,"בשעת חירום ניתן לפנות למוקד אסיא - מוקד רפואה דחופה - נתיבות
טלפון073-2411500
כתובתשדרות ירושלים 136, נתיבות, קומה 1
שעות פתיחה:19:00 - 7:00 למחרת, כל השבוע מלבד יום חמישי","לא הצלחתי למצוא מידע ספציפי על שירותי חירום רפואיים בנתיבות. עם זאת, מצאתי מספר מרפאות ומכונים רפואיים בנתיבות שיכולים לספק שירותים רפואיים. 

מרפאת ""גנים"" בנתיבות (רחוב גני טל 2) פועלת כמרפאה ראשונית וניתן לפנות אליה בטלפון 08-6425280. כמו כן, ""מרכז בריאות רמב""ם"" (רחוב הרמב""ם 5) מספק שירותי מעבדה וניתן לפנות אליו בטלפון 08-9937777.

במידה ואתה מחפש שירותי חירום דחופים, אני ממליץ לפנות למספר חירום או לבדוק אם ישנה מרפאה או בית חולים קרוב שמספק שירות 24/7.

רוצה שאבדוק עבורך מידע נוסף או מרפאה ספציפית?"
מוקד רפואי חירום פתוח בשבת בקריית גת?,"•        בשעת חירום בשבת בקרית גת ניתן לפנות  טרם - מוקד רפואה דחופה - קרית גת
טלפון1-599-520520
כתובתחשוון 10, קרית גת, בניין בית גבריאל
שעות קבלה בשבת 08:00 - 05:45 למחרת","לא מצאתי מידע על מוקדי חירום רפואיים בקריית גת.
האם תוכל לספק פרטים נוספים או לבדוק עבורך באזור אחר?"
